Method,Spearman ρ,Pearson r,Valid pairs,Failed
Euclidean (text8),0.7009283737542817,0.6965119839155431,1500,0
Poincaré 25×4d,0.6163170425573217,0.6100929287800233,1500,0
Poincaré 50×2d,0.6183962941676157,0.6118657321550338,1500,0
