Subset,Method,Spearman ρ,Pearson r,n
Hierarchy-rich,Euclidean,0.7588510058225041,0.7582082787313671,598
Hierarchy-rich,Spherical,0.7589706975333246,0.7591590968665789,598
Hierarchy-rich,Hyperbolic,0.754668590547124,0.7523371784899152,598
Hierarchy-poor,Euclidean,0.7881896441627441,0.7812833007578976,902
Hierarchy-poor,Spherical,0.7843167016543031,0.778932103879446,902
Hierarchy-poor,Hyperbolic,0.7875825857851234,0.7795151373969543,902
