Method,Spearman ρ,Pearson r,Failed pairs
Cosine baseline,0.7388982020505078,0.7254790996576796,0
Euclidean WMD,0.7767788081989695,0.7735878259806805,0
Spherical WMD,0.7747814956248106,0.7727866628130771,0
Hyperbolic WMD,0.7744245131707782,0.7697156780910634,0
